"","date","brand","lastPrice","ticker","shoeName","tradeVolmn","shoeDesc","tradeRange","shoeVol","pricePrem"
"1","2018","adidas",235,"YZY350BV2-BTTR","adidas Yeezy Boost 350 V2 Butter","Size 8","“The most beautiful thoughts are always besides the darkest."" Following his polarizing #1 album, ye, the Yeezy Boost 350 V2 is back and better than ever. With various shades of butter covering the upper, laces, and midsole, the shoe is finished with a classic gum bottom. Noticeably, this pair is lacking the famous SPLY-350 text found on most 350 V2s. This pair released in June, 2018 for a cool $220. Stay locked to StockX to cop a pair.","Trade Range (12 Mos.)US$ 226 - US$ 244",4,6.8
"2","2018","adidas",111,"YZYPWRPH-CBLK","adidas Yeezy Powerphase Calabasas Core Black","Size: 10","The third colorway of the series, this adidas Yeezy Powerphase Calabasas features a monochromatic core black color palette. There is also Adidas branding in green next to a red Trefoil logo. This classic colorway released in March 2017 for $120.","Trade Range (12 Mos.)US$ 96 - US$ 127",14.1,-7.3
"3","2018","adidas",228,"ADIULBST4-CNY18","adidas Ultra Boost 4.0 Chinese New Year (2018)","Size: 13",NA,"Trade Range (12 Mos.)US$ 210 - US$ 246",7.8,26.7
"4","2018","adidas",290,"NMDH-BBCMLT","adidas NMD Hu Pharrell x Billionaire Boys Club Multi-Color","Size 6",NA,"Trade Range (12 Mos.)US$ 274 - US$ 306",5.5,16
"5","2018","adidas",283,"ZX500-DBZSNGKU","adidas ZX 500 Dragon Ball Z Son Goku","Size 9","Goku might've had an abundance of power, but did he have plenty of swag? Find out next time by copping the adidas ZX 500 Dragon Ball Z Son Goku. This shoe comes with an orange upper, three denim stripes, and a white adidas boost sole. This powerful sneaker was released in September 2018 and retailed for $170. While searching for the dragon, place a Bid for these on StockX.","Trade Range (12 Mos.)US$ 255 - US$ 311",9.9,66.5
"6","2018","adidas",155,"YNG1-DBZFRZ","adidas Yung-1 Dragon Ball Z Frieza","Size 8","The shoe game might need a senzu bean after being destroyed by the adidas Yung-1 Dragon Ball Z Frieza. These come with a white and purple upper, three white stripes outlined in purple, and a white and purple sole. This sneaker was released in September 2018 and retailed for $150. If you're not too busy saving the planet, cop these on StockX.","Trade Range (12 Mos.)US$ 143 - US$ 167",7.9,3.3
"7","2018","adidas",341,"YZY500-YLLW","adidas Yeezy 500 Super Moon Yellow","Size: 5.5","These new Yeezy 500 Super Moon Yellows are coming in hotter than a Jackson Hole bonfire. The latest colorway in the Yeezy 500 line, these use adiPrene cushioning in place of BOOST and feature a chunkier look that will grow on you (trust us). This all-moon yellow pair was the first colorway that dropped, as part of the Yeezy season 6 bundle, followed by a wider release in June of 2018. Fans of Ye need to make ""No Mistakes"" and add this Yeezy 500 colorway into the collection asap. ","Trade Range (12 Mos.)US$ 289 - US$ 393",15.1,70.5
"8","2018","adidas",120,"AD-UB4WTMC","adidas Ultra Boost 4.0 White Multi-Color","Size: 9.5",NA,"Trade Range (12 Mos.)US$ 113 - US$ 127",5.8,-33.3
"9","2018","adidas",105,"ADINMD1-CRBLKLSHRD","adidas NMD R1 Core Black Lush Red","Size: 10","Hit the gym and work on your core while wearing the adidas NMD R1 Core Black Lush Red. This sleek silhouette comes with an all-black upper, red midsole tab, and an all-black adidas boost sole. This shoe released September 2018 and retailed at $150. Turn your beast mode on place a Bid on StockX.","Trade Range (12 Mos.)US$ 95 - US$ 115",9.1,-30
"10","2018","adidas",NA,"FC4D-DA","adidas Futurecraft 4D Daniel Arsham","Size 9","The future is bright, so you don’t want to miss out on the adidas Futurecraft 4D Daniel Arsham. This futuristic sneaker comes with a light green upper, light green midsole, and a green sole. The innovative mint shoe released in October 2018 and retailed for $450. Don’t get stuck in the past, place a Bid today on StockX.","Trade Range (12 Mos.)US$ 1,145 - US$ 1,423",10.8,185.3
"11","2018","adidas",150,"NMDTS1-GTXTRPLBLK","adidas NMD TS1 Gore-Tex Triple Black","Size 9",NA,"Trade Range (12 Mos.)US$ 147 - US$ 153",2,-34.8
"12","2018","adidas",250,"NMDHU-MTHR","adidas NMD Hu Pharrell Solar Pack Mother","Size: 11","Part one of three of Pharrell William's Human Race ""Solar Pack,"" these come in a pink, bright blue and yellow colorway. Sporting a pink-based Primeknit upper, tribal graphic detailing, the phrase “MOTH3R” embroidered down the middle of the sneaker, a Boost cushioned midsole and yellow outsole. Their release date was on August of 2018, where they were available at select adidas Originals retailers worldwide for $250.","Trade Range (12 Mos.)US$ 231 - US$ 269",7.4,NA
"13","2018","adidas",245,"NMDHU-SLRPKORNG","adidas NMD Hu Pharrell Solar Pack Orange","Size: 11","Designed by Pharrell Williams, these orange adidas NMD Human Races are a part of the “Solar” Pack. They come in a clean white, black and orange colorway, sporting a white-based Primeknit upper, tribal graphic detailing. The shoes also include the phrase “M1L3L3: embroidered down the middle of the sneaker, which translates to “forever” in Swahili, a Boost cushioned midsole and orange outsole. Their release date was on August of 2018, where they were available at select adidas Originals retailers worldwide for $250. These are another must-have for fans of the Human Race NMDs that love Pharrell’s take on kicks.","Trade Range (12 Mos.)US$ 227 - US$ 263",7.4,-2
"14","2018","adidas",170,"ADIULBST4-BCA","adidas Ultra Boost 4.0 Breast Cancer Awareness","Size: 12","This adidas Ultra Boost 4.0 is known as the “Breast Cancer Awareness” edition. They come in a clean cloud white, core black and shock pink colorway. Sporting a black and white Primeknit upper, metallic pink “Ultra Boost” branding on the side heel, pink BCA ribbon on the back heel, black Boost cushioned midsole and white outsole. These dropped in September of 2018, where they were available at select adidas Originals retailers worldwide for $180. If you’re a fan of the adidas Ultra Boost and support Breast Cancer Awareness, then you have a win-win here.","Trade Range (12 Mos.)US$ 151 - US$ 189",11.4,-5.6
"15","2018","adidas",397,"AD-HRNMDPHFCBK","adidas Human Race NMD Pharrell Holi Festival (Core Black)","Size: 12","For fans of the NMD Human Race silhouette, these Black NMD Human Race shoes might be considered a ""holi"" grail. Part of the ""Holi Festival"" pack, created to honor the Hindu celebration of Holi the festival of color and love, the “Core Black"" colorway is a more muted and minimalist approach compare to the Pink Glow and Coral options. Featuring Devanagari text-embroidered upper, the sneaker also sports a white Boost midsole and black trail rubber outsole. These shoes dropped in March of 2018 and those feeling festive can place a Bid or Ask on these today.","Trade Range (12 Mos.)US$ 371 - US$ 423",6.7,58.8
"16","2018","adidas",100,"ADINMD1-TRPLBLK","adidas NMD R1 STLT Triple Black","Size: 12",NA,"Trade Range (12 Mos.)US$ 91 - US$ 109",8.5,-41.2
"17","2018","adidas",162,"AM4-TKY","adidas Speedfactory AM4 AM4TKY Tokyo","Size 9",NA,"Trade Range (12 Mos.)US$ 143 - US$ 181",11.7,-19
"18","2018","adidas",800,"4D5923-NMP","adidas 4D-5923 Never Made Pack","Size 9",NA,"Trade Range (12 Mos.)US$ 740 - US$ 860",7.4,128.6
"19","2018","adidas",272,"AD-HRNMDPHFPKG","adidas Human Race NMD Pharrell Holi Festival (Pink Glow)","Size: 10.5","For fans of the NMD Human Race silhouette, these Pink Glow NMD Human Race shoes might be considered a ""holi"" grail. Created to honor the Hindu celebration of Holi, also known as the festival of color and love, the “Pink Glow"" brings the colors of the festival to life. Featuring a powder dye finish across the knitted mesh upper, the sneaker also sports a white Boost midsole and black trail rubber outsole to make the colors pop. Want to add the adidas NMD Human Race Pink Glow to your StockX portfolio? Place a Bid or Ask on these festive kicks today.","Trade Range (12 Mos.)US$ 259 - US$ 285",4.7,8.8
"20","2018","adidas",174,"ADINMD1-SSME","adidas NMD R1 Sesame Black","Size: 12.5",NA,"Trade Range (12 Mos.)US$ 145 - US$ 203",16.4,24.3
"21","2018","adidas",180,"ADIULBST-AKOG","adidas Ultra Boost A Kind Of Guise","Size 6",NA,"Trade Range (12 Mos.)US$ 161 - US$ 199",10.3,NA
"22","2018","adidas",517,"YZY700-MVE","adidas Yeezy 700 Mauve","Size: 10",NA,"Trade Range (12 Mos.)US$ 492 - US$ 542",4.9,72.3
"23","2018","adidas",45,"AD-PCBKCWT","adidas Prophere Core Black Cloud White","Size: 11",NA,"Trade Range (12 Mos.)US$ 36 - US$ 54",20.8,-62.5
"24","2018","adidas",72,"ADINMD1-DCSSME","adidas NMD R1 Duck Camo Sesame","Size: 10",NA,"Trade Range (12 Mos.)US$ 66 - US$ 78",8.2,-44.6
"25","2018","adidas",75,"NMD1S-CHRSTMS","adidas NMD R1 STLT Primeknit Christmas","Size: 11",NA,"Trade Range (12 Mos.)US$ 65 - US$ 85",13.7,-46.4
"26","2018","adidas",200,"YNG1-TRPRP","adidas Yung-1 Triple Purple","Size: 5.5",NA,"Trade Range (12 Mos.)US$ 145 - US$ 255",27.7,66.7
"27","2018","adidas",229,"ADISLR-HUGLDMLTI","adidas Solar Hu Glide Multi-Color","Size: 9.5","If you’re looking to add some color to your sneaker collection, then the adidas Solar Hu Glide Multi-Color is the perfect shoe for you. This shoe sports a multi-color upper, black midsole, and a white adidas boost sole. These released in September 2018 and retailed for $150. Cop these now on StockX. ","Trade Range (12 Mos.)US$ 210 - US$ 248",8.4,52.7
"28","2018","adidas",310,"HMNRCNMD-PWHOLI","adidas Human Race NMD Pharrell Holi Festival (Chalk Coral)","Size: 5.5","For fans of the NMD Human Race silhouette, these Coral NMD Human Race shoes might be considered a ""holi"" grail. Created to honor the Hindu celebration of Holi, also known as the festival of color and love, the “Coral"" colorway brings the colors of the festival to life and continues to expand on Pharrell's theme of equality. Featuring a powder dye finish across the knitted mesh upper, the sneaker also sports a white Boost midsole and black trail rubber outsole to make the colors pop. These shoes dropped in March of 2018 and those feeling festive can place a Bid or Ask on these today to add them to their portfolio.","Trade Range (12 Mos.)US$ 287 - US$ 333",7.5,24
"29","2018","adidas",137,"AD-UB4PLI","adidas Ultra Boost 4.0 Parley Legend Ink","Size: 11","One of the coolest (and most environmentally-conscious) collaborations continues with the Parley x adidas Ultra Boost 4.0. Working on one of Adidas' most popular silhouettes, this Ultra Boost uses blue spirit and legend ink on the primeknit upper, carbon on the three stripes cage, and white for the boost midsole and Continental rubber outsole. Released in June, 2018, this pair retailed for $180.","Trade Range (12 Mos.)US$ 133 - US$ 141",3.1,-23.9
"30","2018","adidas",150,"AD-UBCCBKSRD","adidas Ultra Boost Clima Core Black Solar Red","Size 7","Stay cozy while killin it in these core black/solar red adidas Ultra Boost Climas. This is a new colorway on the insanely popular Ultra Boost silhouette this season, and it contrasts the White/Solar Yellow pair also releasing on the same day. The sneakers knitted upper is covered in black, and the model is accented with lime green and solar red hits all over. Finishing details include a matching heel counter, Boost midsole, rubber outsole and Clima technology included to top it all off. These dropped in June of 2018 and are a must own for any Ultra Boost fan.","Trade Range (12 Mos.)US$ 132 - US$ 168",11.7,-31.8
"31","2018","adidas",157,"HUGLD-BLK","adidas Solar Hu Glide Black","Size: 9.5","If you’re looking for a sneaker that would help you get multiple fits off, try copping the adidas Solar Hu Glide Black. These come with a core black upper, core black midsole, and a white adidas Boost sole. This neutral tone shoe released in September 2018 and retailed for $150. Place a Bid for these now on StockX.","Trade Range (12 Mos.)US$ 147 - US$ 167",6.1,4.7
"32","2018","adidas",245,"ADIULBST4-OREO","adidas Ultra Boost 4.0 Cookies and Cream","Size: 11.5","Everyday will feel like a cheat day when you’re rocking these adidas Cookies & Cream Ultra Boost 4.0s. The black, white, and grey combo has become an iconic colorway for the Ultra Boost line and only continues to get better with these Ultra Boost 4.0s. Featuring a grey and black Primeknit upper, a contrasting white cage overlay on the sides, and a black Boost midsole, the shoes originally dropped in March of 2018 at a retail price of $200. As running shoes, and specifically Ultra Boost, continue to gain popularity with sneakerheads for their comfort and versatility, expect these to stay popular on StockX for a minute. Start snacking by placing a Bid or an Ask for these today on StockX.","Trade Range (12 Mos.)US$ 210 - US$ 280",14.5,22.5
"33","2018","adidas",107,"YNG1-CLDWHT","adidas Yung-1 Cloud White","Size 9","Back in 1967 Mick Jagger wanted everyone to ""get off of my cloud."" In 2018, he's still saying the same thing, but this time about the adidas Yung-1 Cloud White. This popular chunky runner sports a mix of materials including nubuck, mesh, and leather accents acroos the uppers in Cloud White and Footwear White. Keeping things extra crispy, the outsole comes correct in matching white. The adidas Yung-1 White released on September 13, 2018 and retailed for $120. ","Trade Range (12 Mos.)US$ 84 - US$ 130",21.2,-10.8
"34","2018","adidas",64,"ADIMND2-TRPLWHT","adidas NMD R2 Triple White","Size 8",NA,"Trade Range (12 Mos.)US$ 52 - US$ 76",18.5,-50.8
"35","2018","adidas",99,"ADINMD1-OFFWHTLSHRD","adidas NMD R1 Off White Lush Red","Size: 10.5",NA,"Trade Range (12 Mos.)US$ 93 - US$ 105",6.5,-23.8
"36","2018","adidas",86,"AD-UBCSYW","adidas Ultra Boost Clima Solar Yellow","Size: 9.5","Stay cozy while killin it in these core white/solar yellow adidas Ultra Boost Climas. This is a new colorway on the insanely popular Ultra Boost silhouette this season, and it contrasts the core black/solar red pair also releasing on the same day. The sneakers knitted upper is covered in white, and the model is accented with solar yellow hits all over. Finishing details include a matching heel counter, Boost midsole, rubber outsole and Clima technology included to top it all off. These dropped in June of 2018 and are a must own for any Ultra Boost fan.","Trade Range (12 Mos.)US$ 79 - US$ 93",8,-57
"37","2018","adidas",85,"AD-UB4PCBLS","adidas Ultra Boost 4.0 Parley Carbon Blue Spirit","Size 8","One of the coolest (and most environmentally-conscious) collaborations continues with the Parley x adidas Ultra Boost 4.0. Working on one of Adidas' most popular silhouettes, this Ultra Boost uses blue spirit and footwear white on the primeknit upper, carbon on the three stripes cage, and white for the boost midsole and Continental rubber outsole. Released in June, 2018, this pair retailed for $180.","Trade Range (12 Mos.)US$ 68 - US$ 102",19.7,-52.8
"38","2018","adidas",210,"HUGLD-WHT","adidas Solar Hu Glide White","Size: 9.5","You might not be able to glide, but you will be able to look elegant af in the adidas Solar Hu Glide White. These come with an all-white upper, brown midsole, and a white adidas boost sole. These released in September 2018 and retailed for $150. Add these to your sneaker rotation and place an Ask or Bid on StockX. ","Trade Range (12 Mos.)US$ 186 - US$ 234",11.2,40
"39","2018","adidas",84,"AD-CBL1BKPR","adidas Crazy BYW LVL 1 Black Purple","Size 9",NA,"Trade Range (12 Mos.)US$ 39 - US$ 129",53.2,-58
"40","2018","adidas",105,"AD-UB4TI","adidas Ultra Boost 4.0 Tech Ink","Size 7",NA,"Trade Range (12 Mos.)US$ 94 - US$ 116",10.4,-41.7
"41","2018","adidas",210,"ADIULBST-MCTW","adidas Ultra Boost 1.0 Multi-Color Toe White","Size: 12",NA,"Trade Range (12 Mos.)US$ 175 - US$ 245",16.6,5
"42","2018","adidas",64,"AD-NMD-R1STLTGB","adidas NMD R1 STLT Grey Black","Size: 10",NA,"Trade Range (12 Mos.)US$ 53 - US$ 75",16.6,-62.4
"43","2018","adidas",105,"I5923-PRD18","adidas I-5923 Pride Pack (2018)","Size: 11.5",NA,"Trade Range (12 Mos.)US$ 80 - US$ 130",23.9,-19.2
"44","2018","adidas",145,"NMD1-D2BLUNT","adidas NMD R1 SNS Datamosh 2.0 Blue Night","Size: 11",NA,"Trade Range (12 Mos.)US$ 70 - US$ 220",51.4,-19
